code,name,exchange
000001,平安银行,SZSE
000002,万  科Ａ,SZSE
000004,*ST国华,SZSE
000006,深振业Ａ,SZSE
000007,全新好,SZSE
000008,神州高铁,SZSE
000009,中国宝安,SZSE
000010,*ST美丽,SZSE
000011,深物业A,SZSE
000012,南  玻Ａ,SZSE
000014,沙河股份,SZSE
000016,*ST康佳A,SZSE
000017,深中华A,SZSE
000019,深粮控股,SZSE
000020,深华发Ａ,SZSE
000021,深科技,SZSE
000025,特  力Ａ,SZSE
000026,飞亚达,SZSE
000027,深圳能源,SZSE
000028,国药一致,SZSE
000029,深深房Ａ,SZSE
000030,富奥股份,SZSE
000031,大悦城,SZSE
000032,深桑达Ａ,SZSE
000034,神州数码,SZSE
000035,中国天楹,SZSE
000036,华联控股,SZSE
000037,深南电A,SZSE
000039,中集集团,SZSE
000042,中洲控股,SZSE
000045,深纺织Ａ,SZSE
000048,京基智农,SZSE
000049,德赛电池,SZSE
000050,深天马Ａ,SZSE
000055,方大集团,SZSE
000056,*ST皇庭,SZSE
000058,深 赛 格,SZSE
000059,华锦股份,SZSE
000060,中金岭南,SZSE
000061,农 产 品,SZSE
000062,深圳华强,SZSE
000063,中兴通讯,SZSE
000065,北方国际,SZSE
000066,中国长城,SZSE
000068,华控赛格,SZSE
000069,华侨城Ａ,SZSE
000070,特发信息,SZSE
000078,ST海王,SZSE
000088,盐 田 港,SZSE
000089,深圳机场,SZSE
000090,天健集团,SZSE
000096,广聚能源,SZSE
000099,中信海直,SZSE
000100,TCL科技,SZSE
000151,中成股份,SZSE
000153,丰原药业,SZSE
000155,川能动力,SZSE
000156,华数传媒,SZSE
000157,中联重科,SZSE
000158,常山北明,SZSE
000159,国际实业,SZSE
000166,申万宏源,SZSE
000301,东方盛虹,SZSE
000333,美的集团,SZSE
000338,潍柴动力,SZSE
000400,许继电气,SZSE
000401,金隅冀东,SZSE
000402,金 融 街,SZSE
000403,派林生物,SZSE
000404,长虹华意,SZSE
000407,胜利股份,SZSE
000408,藏格矿业,SZSE
000409,云鼎科技,SZSE
000410,沈阳机床,SZSE
000411,英特集团,SZSE
000415,渤海租赁,SZSE
000417,合百集团,SZSE
000419,通程控股,SZSE
000420,吉林化纤,SZSE
000421,南京公用,SZSE
